infocard-lg-img href,img-fixed src,infocard-lg-data,ent-name,infocard-lg-data 2,itype,itype href,itype 2,itype href 2,infocard,infocard-lg-img href 2,img-fixed src 2,infocard-lg-data 3,ent-name 2,infocard-lg-data 4,itype 3,itype href 3,itype 4,itype href 4,infocard 2,infocard-lg-img href 3,img-fixed src 3,infocard-lg-data 5,ent-name 3,itype 5,itype href 5,itype 6,itype href 6,itype 7,itype href 7,itype 8,itype href 8,itype 9,itype href 9,infocard 3,infocard href
https://pokemondb.net/pokedex/bulbasaur,https://img.pokemondb.net/sprites/bank/normal/bulbasaur.png,#001,Bulbasaur,·,Grass,https://pokemondb.net/type/grass,Poison,https://pokemondb.net/type/poison,(Level 16),https://pokemondb.net/pokedex/ivysaur,https://img.pokemondb.net/sprites/bank/normal/ivysaur.png,#002,Ivysaur,·,Grass,https://pokemondb.net/type/grass,Poison,https://pokemondb.net/type/poison,(Level 32),https://pokemondb.net/pokedex/venusaur,https://img.pokemondb.net/sprites/bank/normal/venusaur.png,#003,Venusaur,Grass,https://pokemondb.net/type/grass,Poison,https://pokemondb.net/type/poison,,,,,,,,
https://pokemondb.net/pokedex/charmander,https://img.pokemondb.net/sprites/bank/normal/charmander.png,#004,Charmander,#005,Fire,https://pokemondb.net/type/fire,Fire,https://pokemondb.net/type/fire,(Level 16),https://pokemondb.net/pokedex/charmeleon,https://img.pokemondb.net/sprites/bank/normal/charmeleon.png,#006,Charmeleon,·,Fire,https://pokemondb.net/type/fire,,,(Level 36),https://pokemondb.net/pokedex/charizard,https://img.pokemondb.net/sprites/bank/normal/charizard.png,,Charizard,,,,,Flying,https://pokemondb.net/type/flying,,,,,,
https://pokemondb.net/pokedex/squirtle,https://img.pokemondb.net/sprites/bank/normal/squirtle.png,#007,Squirtle,#008,,,Water,https://pokemondb.net/type/water,(Level 16),https://pokemondb.net/pokedex/wartortle,https://img.pokemondb.net/sprites/bank/normal/wartortle.png,#009,Wartortle,,,,,,(Level 36),https://pokemondb.net/pokedex/blastoise,https://img.pokemondb.net/sprites/bank/normal/blastoise.png,,Blastoise,,,Water,https://pokemondb.net/type/water,,,Water,https://pokemondb.net/type/water,,,,
https://pokemondb.net/pokedex/caterpie,https://img.pokemondb.net/sprites/bank/normal/caterpie.png,#010,Caterpie,#011,,,,,(Level 7),https://pokemondb.net/pokedex/metapod,https://img.pokemondb.net/sprites/bank/normal/metapod.png,#012,Metapod,·,,,,,(Level 10),https://pokemondb.net/pokedex/butterfree,https://img.pokemondb.net/sprites/bank/normal/butterfree.png,,Butterfree,,,,,Flying,https://pokemondb.net/type/flying,Bug,https://pokemondb.net/type/bug,Bug,https://pokemondb.net/type/bug,,
https://pokemondb.net/pokedex/weedle,https://img.pokemondb.net/sprites/bank/normal/weedle.png,#013,Weedle,·,,,Poison,https://pokemondb.net/type/poison,(Level 7),https://pokemondb.net/pokedex/kakuna,https://img.pokemondb.net/sprites/bank/normal/kakuna.png,#014,Kakuna,·,,,Poison,https://pokemondb.net/type/poison,(Level 10),https://pokemondb.net/pokedex/beedrill,https://img.pokemondb.net/sprites/bank/normal/beedrill.png,#015,Beedrill,,,Poison,https://pokemondb.net/type/poison,,,Bug,https://pokemondb.net/type/bug,Bug,https://pokemondb.net/type/bug,,
https://pokemondb.net/pokedex/pidgey,https://img.pokemondb.net/sprites/bank/normal/pidgey.png,#016,Pidgey,·,Normal,https://pokemondb.net/type/normal,Normal,https://pokemondb.net/type/normal,(Level 18),https://pokemondb.net/pokedex/pidgeotto,https://img.pokemondb.net/sprites/bank/normal/pidgeotto.png,#017,Pidgeotto,·,,,Normal,https://pokemondb.net/type/normal,(Level 36),https://pokemondb.net/pokedex/pidgeot,https://img.pokemondb.net/sprites/bank/normal/pidgeot.png,#018,Pidgeot,,,,,Flying,https://pokemondb.net/type/flying,Flying,https://pokemondb.net/type/flying,,,,
https://pokemondb.net/pokedex/rattata,https://img.pokemondb.net/sprites/bank/normal/rattata.png,#019,Rattata,#020,,,Normal,https://pokemondb.net/type/normal,(Level 20),https://pokemondb.net/pokedex/raticate,https://img.pokemondb.net/sprites/bank/normal/raticate.png,,Raticate,,,,Normal,https://pokemondb.net/type/normal,,,,,,,,,,,,,,,,,
https://pokemondb.net/pokedex/rattata,https://img.pokemondb.net/sprites/bank/normal/rattata-alolan.png,#019,Rattata,Alolan Rattata,,,Normal,https://pokemondb.net/type/normal,"(Level 20, Nighttime)",https://pokemondb.net/pokedex/raticate,https://img.pokemondb.net/sprites/bank/normal/raticate-alolan.png,·,Raticate,#020,,,Normal,https://pokemondb.net/type/normal,,,,Alolan Raticate,,,,,,,,,,Dark,https://pokemondb.net/type/dark,,
https://pokemondb.net/pokedex/spearow,https://img.pokemondb.net/sprites/bank/normal/spearow.png,#021,Spearow,·,,,Normal,https://pokemondb.net/type/normal,(Level 20),https://pokemondb.net/pokedex/fearow,https://img.pokemondb.net/sprites/bank/normal/fearow.png,#022,Fearow,·,,,Normal,https://pokemondb.net/type/normal,,,,,,,,,,Flying,https://pokemondb.net/type/flying,,,,,,
https://pokemondb.net/pokedex/ekans,https://img.pokemondb.net/sprites/bank/normal/ekans.png,#023,Ekans,#024,,,Poison,https://pokemondb.net/type/poison,(Level 22),https://pokemondb.net/pokedex/arbok,https://img.pokemondb.net/sprites/bank/normal/arbok.png,,Arbok,,,,Poison,https://pokemondb.net/type/poison,,,,,,,,,,,,,,,,,
