PokemonName	PokedexLink	Description
Medicham	https://pokemondb.net/pokedex/medicham	Medicham is a Fighting/Psychic type Pokémon introduced in Generation 3. It is known as the Meditate Pokémon.
Chinchou	https://pokemondb.net/pokedex/chinchou	Chinchou is a Water/Electric type Pokémon introduced in Generation 2. It is known as the Angler Pokémon.
Snivy	https://pokemondb.net/pokedex/snivy	Snivy is a Grass type Pokémon introduced in Generation 5. It is known as the Grass Snake Pokémon.
Magcargo	https://pokemondb.net/pokedex/magcargo	Magcargo is a Fire/Rock type Pokémon introduced in Generation 2. It is known as the Lava Pokémon.
Lombre	https://pokemondb.net/pokedex/lombre	Lombre is a Water/Grass type Pokémon introduced in Generation 3. It is known as the Jolly Pokémon.
Typhlosion	https://pokemondb.net/pokedex/typhlosion	Typhlosion is a Fire type Pokémon introduced in Generation 2. It is known as the Volcano Pokémon.
Dubwool	https://pokemondb.net/pokedex/dubwool	Dubwool is a Normal type Pokémon introduced in Generation 8. It is known as the Sheep Pokémon.
Nincada	https://pokemondb.net/pokedex/nincada	Nincada is a Bug/Ground type Pokémon introduced in Generation 3. It is known as the Trainee Pokémon.
Vanilluxe	https://pokemondb.net/pokedex/vanilluxe	Vanilluxe is an Ice type Pokémon introduced in Generation 5. It is known as the Snowstorm Pokémon.
Beautifly	https://pokemondb.net/pokedex/beautifly	Beautifly is a Bug/Flying type Pokémon introduced in Generation 3. It is known as the Butterfly Pokémon.
Trapinch	https://pokemondb.net/pokedex/trapinch	Trapinch is a Ground type Pokémon introduced in Generation 3. It is known as the Ant Pit Pokémon.
Quilava	https://pokemondb.net/pokedex/quilava	Quilava is a Fire type Pokémon introduced in Generation 2. It is known as the Volcano Pokémon.
Marshtomp	https://pokemondb.net/pokedex/marshtomp	Marshtomp is a Water/Ground type Pokémon introduced in Generation 3. It is known as the Mud Fish Pokémon.
Crustle	https://pokemondb.net/pokedex/crustle	Crustle is a Bug/Rock type Pokémon introduced in Generation 5. It is known as the Stone Home Pokémon.
Starmie	https://pokemondb.net/pokedex/starmie	Starmie is a Water/Psychic type Pokémon introduced in Generation 1. It is known as the Mysterious Pokémon.
Swablu	https://pokemondb.net/pokedex/swablu	Swablu is a Normal/Flying type Pokémon introduced in Generation 3. It is known as the Cotton Bird Pokémon.
Elekid	https://pokemondb.net/pokedex/elekid	Elekid is an Electric type Pokémon introduced in Generation 2. It is known as the Electric Pokémon.
Quilladin	https://pokemondb.net/pokedex/quilladin	Quilladin is a Grass type Pokémon introduced in Generation 6. It is known as the Spiny Armor Pokémon.
Magnezone	https://pokemondb.net/pokedex/magnezone	Magnezone is an Electric/Steel type Pokémon introduced in Generation 4. It is known as the Magnet Area Pokémon.
Tropius	https://pokemondb.net/pokedex/tropius	Tropius is a Grass/Flying type Pokémon introduced in Generation 3. It is known as the Fruit Pokémon.
Ralts	https://pokemondb.net/pokedex/ralts	Ralts is a Psychic/Fairy type Pokémon introduced in Generation 3. It is known as the Feeling Pokémon.
Golbat	https://pokemondb.net/pokedex/golbat	Golbat is a Poison/Flying type Pokémon introduced in Generation 1. It is known as the Bat Pokémon.
Camerupt	https://pokemondb.net/pokedex/camerupt	Camerupt is a Fire/Ground type Pokémon introduced in Generation 3. It is known as the Eruption Pokémon.
Manaphy	https://pokemondb.net/pokedex/manaphy	Manaphy is a Water type Pokémon introduced in Generation 4. It is known as the Seafaring Pokémon.
Serperior	https://pokemondb.net/pokedex/serperior	Serperior is a Grass type Pokémon introduced in Generation 5. It is known as the Regal Pokémon.
Bergmite	https://pokemondb.net/pokedex/bergmite	Bergmite is an Ice type Pokémon introduced in Generation 6. It is known as the Ice Chunk Pokémon.
Meganium	https://pokemondb.net/pokedex/meganium	Meganium is a Grass type Pokémon introduced in Generation 2. It is known as the Herb Pokémon.
Machoke	https://pokemondb.net/pokedex/machoke	Machoke is a Fighting type Pokémon introduced in Generation 1. It is known as the Superpower Pokémon.
Skitty	https://pokemondb.net/pokedex/skitty	Skitty is a Normal type Pokémon introduced in Generation 3. It is known as the Kitten Pokémon.
Litwick	https://pokemondb.net/pokedex/litwick	Litwick is a Ghost/Fire type Pokémon introduced in Generation 5. It is known as the Candle Pokémon.
Toxapex	https://pokemondb.net/pokedex/toxapex	Toxapex is a Poison/Water type Pokémon introduced in Generation 7. It is known as the Brutal Star Pokémon.
Krabby	https://pokemondb.net/pokedex/krabby	Krabby is a Water type Pokémon introduced in Generation 1. It is known as the River Crab Pokémon.
Metagross	https://pokemondb.net/pokedex/metagross	Metagross is a Steel/Psychic type Pokémon introduced in Generation 3. It is known as the Iron Leg Pokémon.
Piloswine	https://pokemondb.net/pokedex/piloswine	Piloswine is an Ice/Ground type Pokémon introduced in Generation 2. It is known as the Swine Pokémon.
Pumpkaboo	https://pokemondb.net/pokedex/pumpkaboo	Pumpkaboo is a Ghost/Grass type Pokémon introduced in Generation 6. It is known as the Pumpkin Pokémon.
Finneon	https://pokemondb.net/pokedex/finneon	Finneon is a Water type Pokémon introduced in Generation 4. It is known as the Wing Fish Pokémon.
Moltres	https://pokemondb.net/pokedex/moltres	Moltres is a Fire/Flying type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.
Steenee	https://pokemondb.net/pokedex/steenee	Steenee is a Grass type Pokémon introduced in Generation 7. It is known as the Fruit Pokémon.
Meloetta	https://pokemondb.net/pokedex/meloetta	Meloetta is a Normal/Psychic type Pokémon introduced in Generation 5. It is known as the Melody Pokémon.
Eelektross	https://pokemondb.net/pokedex/eelektross	Eelektross is an Electric type Pokémon introduced in Generation 5. It is known as the EleFish Pokémon.
Lickitung	https://pokemondb.net/pokedex/lickitung	Lickitung is a Normal type Pokémon introduced in Generation 1. It is known as the Licking Pokémon.
Tentacool	https://pokemondb.net/pokedex/tentacool	Tentacool is a Water/Poison type Pokémon introduced in Generation 1. It is known as the Jellyfish Pokémon.
Diggersby	https://pokemondb.net/pokedex/diggersby	Diggersby is a Normal/Ground type Pokémon introduced in Generation 6. It is known as the Digging Pokémon.
Furret	https://pokemondb.net/pokedex/furret	Furret is a Normal type Pokémon introduced in Generation 2. It is known as the Long Body Pokémon.
Primeape	https://pokemondb.net/pokedex/primeape	Primeape is a Fighting type Pokémon introduced in Generation 1. It is known as the Pig Monkey Pokémon.
Florges	https://pokemondb.net/pokedex/florges	Florges is a Fairy type Pokémon introduced in Generation 6. It is known as the Garden Pokémon.
Toxicroak	https://pokemondb.net/pokedex/toxicroak	Toxicroak is a Poison/Fighting type Pokémon introduced in Generation 4. It is known as the Toxic Mouth Pokémon.
Pineco	https://pokemondb.net/pokedex/pineco	Pineco is a Bug type Pokémon introduced in Generation 2. It is known as the Bagworm Pokémon.
Togepi	https://pokemondb.net/pokedex/togepi	Togepi is a Fairy type Pokémon introduced in Generation 2. It is known as the Spike Ball Pokémon.
Rolycoly	https://pokemondb.net/pokedex/rolycoly	Rolycoly is a Rock type Pokémon introduced in Generation 8. It is known as the Coal Pokémon.
Swinub	https://pokemondb.net/pokedex/swinub	Swinub is an Ice/Ground type Pokémon introduced in Generation 2. It is known as the Pig Pokémon.
Scorbunny	https://pokemondb.net/pokedex/scorbunny	Scorbunny is a Fire type Pokémon introduced in Generation 8. It is known as the Rabbit Pokémon.
Celesteela	https://pokemondb.net/pokedex/celesteela	Celesteela is a Steel/Flying type Pokémon introduced in Generation 7. It is known as the Launch Pokémon.
Palossand	https://pokemondb.net/pokedex/palossand	Palossand is a Ghost/Ground type Pokémon introduced in Generation 7. It is known as the Sand Castle Pokémon.
Elgyem	https://pokemondb.net/pokedex/elgyem	Elgyem is a Psychic type Pokémon introduced in Generation 5. It is known as the Cerebral Pokémon.
Glalie	https://pokemondb.net/pokedex/glalie	Glalie is an Ice type Pokémon introduced in Generation 3. It is known as the Face Pokémon.
