infocard-lg-img href,img-fixed src,Generation,infocard-lg-data,ent-name,itype,itype href,infocard-lg-data 2,itype 2,itype href 2,itype 3,itype href 3
https://pokemondb.net/pokedex/bulbasaur,https://img.pokemondb.net/sprites/bank/normal/bulbasaur.png,1,#001,Bulbasaur,·,Grass,https://pokemondb.net/type/grass,Poison,https://pokemondb.net/type/poison,,
https://pokemondb.net/pokedex/ivysaur,https://img.pokemondb.net/sprites/bank/normal/ivysaur.png,1,#002,Ivysaur,·,Grass,https://pokemondb.net/type/grass,Poison,https://pokemondb.net/type/poison,,
https://pokemondb.net/pokedex/venusaur,https://img.pokemondb.net/sprites/bank/normal/venusaur.png,1,#003,Venusaur,·,Grass,https://pokemondb.net/type/grass,Poison,https://pokemondb.net/type/poison,,
https://pokemondb.net/pokedex/charmander,https://img.pokemondb.net/sprites/bank/normal/charmander.png,1,#004,Charmander,,Fire,https://pokemondb.net/type/fire,,,,
https://pokemondb.net/pokedex/charmeleon,https://img.pokemondb.net/sprites/bank/normal/charmeleon.png,1,#005,Charmeleon,,Fire,https://pokemondb.net/type/fire,,,,
https://pokemondb.net/pokedex/charizard,https://img.pokemondb.net/sprites/bank/normal/charizard.png,1,#006,Charizard,·,Fire,https://pokemondb.net/type/fire,,,Flying,https://pokemondb.net/type/flying
https://pokemondb.net/pokedex/squirtle,https://img.pokemondb.net/sprites/bank/normal/squirtle.png,1,#007,Squirtle,,Water,https://pokemondb.net/type/water,,,,
https://pokemondb.net/pokedex/wartortle,https://img.pokemondb.net/sprites/bank/normal/wartortle.png,1,#008,Wartortle,,Water,https://pokemondb.net/type/water,,,,
https://pokemondb.net/pokedex/blastoise,https://img.pokemondb.net/sprites/bank/normal/blastoise.png,1,#009,Blastoise,,Water,https://pokemondb.net/type/water,,,,
https://pokemondb.net/pokedex/caterpie,https://img.pokemondb.net/sprites/bank/normal/caterpie.png,1,#010,Caterpie,,,,,,,
https://pokemondb.net/pokedex/metapod,https://img.pokemondb.net/sprites/bank/normal/metapod.png,1,#011,Metapod,,,,,,,
https://pokemondb.net/pokedex/butterfree,https://img.pokemondb.net/sprites/bank/normal/butterfree.png,1,#012,Butterfree,·,,,,,Flying,https://pokemondb.net/type/flying
https://pokemondb.net/pokedex/weedle,https://img.pokemondb.net/sprites/bank/normal/weedle.png,1,#013,Weedle,·,,,Poison,https://pokemondb.net/type/poison,,
https://pokemondb.net/pokedex/kakuna,https://img.pokemondb.net/sprites/bank/normal/kakuna.png,1,#014,Kakuna,·,,,Poison,https://pokemondb.net/type/poison,,
https://pokemondb.net/pokedex/beedrill,https://img.pokemondb.net/sprites/bank/normal/beedrill.png,1,#015,Beedrill,·,,,Poison,https://pokemondb.net/type/poison,,
https://pokemondb.net/pokedex/pidgey,https://img.pokemondb.net/sprites/bank/normal/pidgey.png,1,#016,Pidgey,·,Normal,https://pokemondb.net/type/normal,,,Flying,https://pokemondb.net/type/flying
https://pokemondb.net/pokedex/pidgeotto,https://img.pokemondb.net/sprites/bank/normal/pidgeotto.png,1,#017,Pidgeotto,·,Normal,https://pokemondb.net/type/normal,,,Flying,https://pokemondb.net/type/flying
https://pokemondb.net/pokedex/pidgeot,https://img.pokemondb.net/sprites/bank/normal/pidgeot.png,1,#018,Pidgeot,·,Normal,https://pokemondb.net/type/normal,,,Flying,https://pokemondb.net/type/flying
